行标签,平均值项:best_cost,平均值项:stage1_cost,平均值项:stage2_cost,平均值项:runtime_sec,平均值项:t_stage1,平均值项:t_stage2
c103_21,1024.44,970.06,54.38,138.93,8.60,130.33
0.1,1016.15,968.72,47.44,97.23,7.34,89.89
0.6,1032.72,971.39,61.33,180.63,9.87,170.76
c106_21,1048.81,1026.60,22.21,162.01,9.41,152.60
0.1,1044.54,1027.16,17.39,145.95,9.93,136.02
0.2,1043.74,1024.82,18.92,139.50,8.51,130.99
0.3,1047.30,1022.32,24.97,150.01,9.01,141.00
0.4,1054.59,1027.38,27.21,175.24,9.49,165.75
0.5,1050.26,1027.26,23.01,146.61,8.21,138.40
0.6,1052.43,1030.70,21.73,214.77,11.34,203.43
c206_21,1104.12,1055.86,48.25,230.30,13.76,216.54
0.1,1100.53,1052.92,47.61,187.98,13.00,174.98
0.2,1099.16,1047.60,51.56,193.65,12.71,180.94
0.3,1106.10,1059.89,46.22,231.98,13.36,218.62
0.4,1107.69,1059.21,48.48,254.67,14.26,240.41
0.5,1107.43,1060.13,47.29,289.11,15.66,273.45
r106_21,1167.90,1151.85,16.04,237.87,16.87,221.00
0.1,1164.76,1155.64,9.12,493.40,37.91,455.49
0.2,1160.77,1151.17,9.59,174.56,12.93,161.63
0.3,1167.00,1142.74,24.26,169.15,11.89,157.26
0.4,1172.82,1155.65,17.17,179.89,12.27,167.62
0.5,1172.37,1153.99,18.38,211.11,13.78,197.33
0.6,1169.67,1151.93,17.74,199.13,12.46,186.67
r206_21,1163.00,1143.45,19.55,200.95,13.18,187.77
0.1,1160.63,1145.91,14.71,191.01,13.88,177.13
0.2,1161.10,1141.39,19.71,195.41,13.18,182.24
0.3,1167.68,1149.33,18.35,176.67,11.53,165.14
0.4,1162.11,1145.87,16.24,191.99,12.89,179.10
0.5,1160.35,1136.04,24.31,261.67,16.05,245.62
0.6,1166.15,1142.14,24.01,188.95,11.53,177.41
rc106_21,1170.73,1147.55,23.18,151.28,8.86,142.42
0.1,1163.04,1139.95,23.09,109.50,7.66,101.84
0.2,1169.15,1152.68,16.47,118.60,7.57,111.04
0.3,1167.05,1150.94,16.11,132.45,8.08,124.38
0.4,1175.97,1149.33,26.64,181.39,10.14,171.25
0.5,1170.40,1146.96,23.44,183.75,9.81,173.94
0.6,1178.80,1145.45,33.35,181.98,9.92,172.06
rc206_21,1165.84,1143.98,21.87,190.15,10.43,179.72
0.1,1156.78,1136.05,20.73,187.62,11.13,176.50
0.2,1169.08,1149.55,19.54,128.69,8.13,120.56
0.3,1165.93,1139.35,26.58,206.81,12.03,194.78
0.4,1171.00,1150.06,20.94,231.66,10.32,221.34
0.5,1167.76,1146.95,20.80,209.48,10.83,198.65
(空白),,,,,,
(空白),,,,,,
总计,1129.97,1103.68,26.28,191.38,11.92,179.47
