行标签,平均值项:best_cost,平均值项:stage1_cost,平均值项:stage2_cost,平均值项:runtime_sec,平均值项:t_stage1,平均值项:t_stage2
c106_21,1045.830502,1023.071834,22.75866845,148.9325609,11.18058938,137.7519716
0.1,1050.333586,1001.687704,48.64588225,81.44742274,7.149945339,74.2974774
0.2,1033.752566,1029.780137,3.972428908,247.5341051,17.13783606,230.3962691
0.3,1047.762062,1017.2899,30.47216176,85.60409141,7.225338062,78.37875334
0.4,1040.472753,1025.791505,14.68124759,147.4500356,11.02726825,136.4227673
0.5,1046.624574,1027.442604,19.1819706,217.0514586,15.68224486,201.3692137
0.6,1056.037471,1036.439151,19.59831958,114.5082522,8.86090374,105.6473485
c206_21,1105.505196,1056.44231,49.06288653,165.5844387,11.35781505,154.2266236
0.1,1094.007295,1054.065744,39.94155055,196.0740922,13.3061192,182.767973
0.2,1095.338683,1043.67397,51.66471229,145.4822458,10.35438474,135.127861
0.3,1103.521793,1059.025286,44.49650675,146.2613271,9.834565401,136.4267617
0.4,1110.897582,1063.502746,47.39483662,196.2731872,13.19926341,183.0739237
0.5,1116.793795,1058.021639,58.77215676,108.2210857,8.382747491,99.83833822
0.6,1112.47203,1060.364474,52.10755618,201.194694,13.06981007,188.124884
r106_21,1168.928007,1155.084283,13.84372362,175.0711829,13.46054047,161.6106425
0.1,1176.780372,1176.261687,0.518685058,146.9125729,11.21253101,135.7000419
0.2,1158.51836,1140.960357,17.55800237,177.7054686,14.13660518,163.5688634
0.3,1162.171818,1142.87638,19.29543806,195.2576761,14.63570635,180.6219698
0.4,1178.241479,1160.23871,18.00276898,180.4090141,13.85731936,166.5516948
(空白),,,,,,
(空白),,,,,,
总计,1098.982889,1068.588875,30.39401402,161.7116706,11.81703678,149.8946338
