行标签,平均值项:best_cost
c106_21,1045.830502
0.1,1050.333586
0.2,1033.752566
0.3,1047.762062
0.4,1040.472753
0.5,1046.624574
0.6,1056.037471
c206_21,1105.505196
0.1,1094.007295
0.2,1095.338683
0.3,1103.521793
0.4,1110.897582
0.5,1116.793795
0.6,1112.47203
r106_21,1170.206869
0.1,1176.780372
0.2,1158.51836
0.3,1162.171818
0.4,1178.241479
0.5,1165.945503
0.6,1179.583685
r206_21,1169.789205
0.1,1161.165108
0.2,1173.021614
0.3,1158.238438
0.4,1185.696734
0.5,1173.760735
0.6,1166.852601
rc106_21,1164.470967
0.1,1168.084421
0.2,1160.886368
0.3,1163.576045
0.4,1165.770066
(空白),
(空白),
总计,1128.351235
