行标签,平均值项:best_cost,平均值项:stage1_cost,平均值项:stage2_cost
c106_21,1045.830502,1023.071834,22.75866845
0.1,1050.333586,1001.687704,48.64588225
0.2,1033.752566,1029.780137,3.972428908
0.3,1047.762062,1017.2899,30.47216176
0.4,1040.472753,1025.791505,14.68124759
0.5,1046.624574,1027.442604,19.1819706
0.6,1056.037471,1036.439151,19.59831958
c206_21,1094.672989,1048.869857,45.80313142
0.1,1094.007295,1054.065744,39.94155055
0.2,1095.338683,1043.67397,51.66471229
(空白),,,
(空白),,,
总计,1058.041124,1029.52134,28.51978419
